section,bars,seconds,title,emoji,chords,lyrics,description
Intro,14,,Drums + keys build,🥁🎹,,,no chords — groove only
Riff,8,,Iconic guitar riff,🎸,,,the hook everyone knows
Verse,16,,First verse,🎤,E5 | D5 | E5 | D5 | C5 | D5 | E5 | D5,,pattern loops twice
Chorus,12,,Just beat it,🔥,,,riff under vocal
Verse,16,,Second verse,🎤,E5 | D5 | E5 | D5 | C5 | D5 | E5 | D5,,pattern loops twice
Chorus,16,,Just beat it,🔥,,,riff under vocal
Bridge,16,,Interlude,⚡,E5 — D5,,vamp — build into solo
Solo,16,,Eddie's solo,🎸🔥,E5 | D5 | E5 | D5 | C5 | D5 | E5 | D5,,
Chorus,16,,Final chorus,🎶,,,push it
Bridge,8,,Outro vamp,🌫️,E5 — D5,,
