section,bars,seconds,title,emoji,chords,lyrics,description
Intro,4,,,,G | | Gmaj7 | |,,
Intro,8,,,,|: A/G | Am/G | G | G :|,,
Verse,6,,,,G | G | Gmaj7 | Gmaj7 | G7 | G7,,
Verse,6,,,,Cmaj7 | Cmaj7 | Cm6 | Cm6 | G | G,,
Verse,4,,,, A | Am | G | G,,
Verse,6,,,,G | G | Gmaj7 | Gmaj7 | G7 | G7,,
Verse,6,,,,Cmaj7 | Cmaj7 | Cm6 | Cm6 | G | G,,
Verse,4,,,, A | Am | G | G,,
Bridge,4,,,,Am | D | G | G,,
Bridge,3,,,,Am | D | G,,
Bridge,2,,,,E7(#9) | E7(#9),,
Chorus,8,,,,Am | D7sus | Bm7 | Em7 | Am | D | G | E7(#9),,
Chorus,8,,,,Am | D7sus | Bm7 | Em7 | Am | Am | D | D,,
Verse,6,,,,G | G | Gmaj7 | Gmaj7 | G7 | G7,,
Verse,6,,,,Cmaj7 | Cmaj7 | Cm6 | Cm6 | G | G,,
Verse,4,,,, A | Am | G | G,,
Bridge,4,,,,Am | D | G | G,,
Bridge,3,,,,Am | D | G,,
Bridge,2,,,,E7(#9) | E7(#9),,
Chorus,8,,,,Am | D7sus | Bm7 | Em7 | Am | D | G | E7(#9),,
Chorus,8,,,,Am | D7sus | Bm7 | Em7 | Am | Am | D | D,,
Solo,6,,,,G | G | Gmaj7 | Gmaj7 | G7 | G7,,
Solo,6,,,,Cmaj7 | Cmaj7 | Cm6 | Cm6 | G | G,,
Solo,4,,,, A | Am | G | G,,
Bridge,4,,,,Am | D | G | G,,
Bridge,3,,,,Am | D | G,,
Bridge,2,,,,E7(#9) | E7(#9),,
Chorus,8,,,,Am | D7sus | Bm7 | Em7 | Am | D | G | E7(#9),,
Chorus,8,,,,Am | D7sus | Bm7 | Em7 | Am | Am | D | D,,
Outro,4,,,,G | | Gmaj7 | |,,
Outro,8,,,,|: A/G | Am/G | G | G :|,,
