section,bars,seconds,title,emoji,chords,lyrics,description
Intro,8,,Intro,🎸🎸,|: Asus2/C# _A/D< | | Asus2/C# _A/D< | _E7sus4 :|,,
Verse,8,,,,|: Amaj7 |  | F#m7 |  :|,,
Verse,8,,,,Bm7 | C#m7 | D#m7b5 | E7sus4 | F#m7 | Gmaj7 | Fmaj7 | Fmaj7,,
Intro,4,,Short intro,🎸,Asus2/C# _A/D< | | Asus2/C# _A/D< | _E7sus4,,
Verse,8,,,,|: Amaj7 |  | F#m7 |  :|,,
Verse,8,,,,Bm7 | C#m7 | D#m7b5 | E7sus4 | F#m7 | Gmaj7 | Fmaj7 | Fmaj7,,
Bridge,8,,,,Fmaj7 | Am7 | Fmaj7 | Amaj7 | F#m7 | E/G# | D/A | D/A,,
Chorus,6,,,,Gmaj7 | Fmaj7 x3
Bridge,2,,,,Gmaj7 | Fmaj7
Solo,8,,Solo1,🎸,Gmaj7 | Fmaj7 x4
Solo,8,,Solo2,🎸,Gmaj7 | Fmaj7 x4
Outro,8,,Outro,🎸,|:  Asus2/C# _A/D< | | Asus2/C# _A/D< | _E7sus4 :|,,
