section,bars,seconds,title,emoji,chords,lyrics,description
Intro,4,,,,Db | >Gb/Db | Db | >Gb/Db Ab/Db,,instrumental
Verse,8,,,,Db | >Gb/Db | Db | >Gb/Db Ab/Db | Dbsus2 | Gb/Db | Db/F Gb | B,,veu + baix
Pre-chorus,9,,,,Bsus2 | Db | Bsus2 | Db | Ebm7 | Db/F | Gb | Ab | Ab,,
Chorus,8,,,,|: Bbm | Gb | Ab | Ab :|,,
Verse,4,,,,Db | >Gb/Db | Db | >Gb/Db Ab/Db,,
Verse,5,,,,Db | >Gb/Db | Db | >Gb/Db Ab/Db | Dbsus2,,no drums
Verse,2,,"'til I try, I′ll never know",,Db/F | Gb | >B,, marques tots fort
Pre-chorus,9,,,,Bsus2 | Db | Bsus2 | Db | Ebm7 | Db/F | Gb | Ab | Ab,,charles a negres — ritme drums al final
Chorus,12,,,,Bbm | Gb | Ab | Ab,,loops ×3
Bridge,4,,Unlimited,,B | B | B | B,,
Bridge,3,,"Future is unlimited...",,Ebm Db | Gb/Bb | Gb/Bb,,
Bridge,4,,"Vision, almost like a prophecy...",,Bmaj7 | Bb7 | Ebm | D,,
Bridge,4,,"it sounds truly crazy...",,F# | B | F# | B,,
Bridge,4,,"But I can see it (I can feel it)...",,A | A B | A | B,,
Verse,8,,,,|: Db | >Gb/Db | Db | >Gb/Db Ab/Db :| ,,
Verse,4,,"As someone told me lately...",,Db | >Gb | Ebm7 | Db/F ,,
Pre-chorus,11,,,,Bsus2 | Db | Bsus2 | Db | Ebm7 | Db/F | Gb | Ab | Ab | Ab | Ab,,
Chorus,12,,,,Bbm | Gb | Ab | Ab,,loops ×3
Chorus,5,,,,Bbm | Gb | Ab | Ab | Ab,,
Riff,4,,,,Bbm Ab Bbm Ab,,quick connector
Outro,8,,,🧑‍🎤,A | B | Dbsus4:/// | Db,,final
