section,bars,seconds,title,emoji,chords,lyrics,description
Intro,8,,,,|: C | G | D | Em :|,,TECLAS
Verse,16,,,,|: C | G | D | Em :|,,
Bridge,4,,,,C | G | D | Em,,let ring
Bridge,4,,,,C | G | D | D,,rhythm pattern TBD
Chorus,12,,,,|: C | D | G F# | Em :|,,
Chorus,4,,,,C | D | G F# | Em,,
Bridge,24,,,,|: Em | D | D | C\nEm | D | Bm | C\nEm | Bm | C | D :|,,PIANO Y VOZ
Chorus,12,,,,|: C | D | G F# | Em :|,,
Chorus,4,,,,C | D | G F# | Em,,
Chorus,12,,,,|: C | D | G F# | Em :|,,
Chorus,4,,,,C | D | G F# | Em,,
Chorus,12,,,,|: C | D | G F# | Em :|,,
Chorus,4,,,,C | D | G F# | Em,,
