section,bars,seconds,title,emoji,chords,lyrics,description
Intro,9,,,,Dm | C/D Gm/D | Dm | C/D Gm/D | Dm | C/E Gm | F/A Bb | F/C C | Dm,,
Silence,2,,,,,
Chorus,8,,,,|: F | C | Bb | F/A Dm  :|,,
Verse,16,,,,Bb | F | C | Dm | Bb | F | C | C :|,,
Chorus,8,,,,|: F | C | Bb | F/A Dm :|,,
Verse,16,,,,|: Bb | F | C | Dm | Bb | F | C | C :|,,
Chorus,16,,,,F | C | Bb | F/A Dm x4,,
Bridge,4,,,🤘,Dm | x4,,
Bridge,4,,,,Dm | C/E Gm,,
Bridge,4,,,,Dm | C/E Gm | F/A Bb | F/C C,,
Bridge,4,,,,Dm | C/E Gm,,
Bridge,4,,,,Dm | C/E Gm | F/A Bb | F/C C,,
Verse,16,,,,F | C | Bb | F/A Dm x4,,
Bridge,4,,,,Dm | C/E Gm,,
Bridge,4,,,,Dm | C/E Gm | F/A Bb | F/C C,,
Bridge,4,,,,|: Dm | C/E Gm :| ,,
Bridge,4,,,,Dm | C/E Gm | F/A Bb | F/C C,,
Bridge,4,,,🤘,Dm | x4,,
Bridge,4,,,,|: Dm | C/E Gm :| ,,
Outro,6,,,,Dm | C/E Gm | F/A Bb | F/C C | D,,
