section,bars,seconds,title,emoji,chords,lyrics,description
Intro,8,,Saxo intro x2,🎷,|: Am7 | D7(add9) | F/G | C :|,,
Vers,7,,,,Dm7 | Em7 | Fmaj7 | C | Dm7 | Em7 | Fmaj7,,
Bridge,4,,,,Am7 | D7(add9) | F7(add9) | E7(#9),,
Intro,4,,Saxo intro ~,🎷,Am7 | D7(add9) | F/G | C,,
Vers,8,,,,C | Dm7 | Em7 | Fmaj7 | C | Dm7 | Em7 | Fmaj7,,
Bridge,6,,,,Am7 | D7(add9) | F7(add9) | F/G | C | C,,
Chorus,8,,,,F | G | C E7 | Am | Dm | G | C | >Gm7 >C7(add9),,
Chorus,6,,,,F | G | E7/G# | Am | Dm7 | G7:// H,,
Saxo intro,4,,,,Am7 | D7(add9) | F/G | C,,
Saxo intro de baixada,4,,,,Am7 | D7(add9) | F/G | C G/B,,
Verse,8,,,,|: Am | Am(maj7) | Am7 | Am6 :|,,Starway to heaven
Bridge,6,,,,F7(add9) | E7(#9) | Am7 | >Gm7 >C7(add9) | F7(add9)://////// | D7(add9):////////,,To the top
Chorus,8,,,🔝,G | A7 | F#7/A# | Bm | Em | A7 | D | >Am7 >D7(add9),,
Chorus,7,,,🔝,G | A7 | F#7/A# | Bm | Em7 | A7://////// | A7:////////,,
Saxo outro,7,,,🔝🔝🔝🔝🔝🔝🔝,|: Bm7 | E7(add9) | G/A | D :|,,
